particleNum,Area,Mean,StdDev,Mode,Min,Max,XM,YM,Circ.,IntDen,Median,Skew,Kurt,%Area,RawIntDen,AR,Round,Solidity,colocalized
83,0.015,255,0,255,255,255,21.089,55.435,0.524,3.81,255,NaN,NaN,100,765,1.567,0.638,0.6,no
84,0.015,255,0,255,255,255,27.582,55.482,1,3.81,255,NaN,NaN,100,765,1.464,0.683,0.857,no
85,0.075,238,65.841,255,0,255,21.318,55.697,0.278,17.78,255,-3.474,10.071,93.333,3570,1.404,0.712,0.517,no
86,0.03,255,0,255,255,255,47.001,55.705,0.769,7.62,255,NaN,NaN,100,1530,1.584,0.631,0.667,no
87,0.06,255,0,255,255,255,18.461,56.129,0.213,15.24,255,NaN,NaN,100,3060,4.333,0.231,0.407,no
88,0.03,255,0,255,255,255,18.572,56.482,0.589,7.62,255,NaN,NaN,100,1530,1.633,0.612,0.667,no
89,0.105,230.714,76.702,255,0,255,18.663,56.958,0.277,24.13,255,-2.758,5.605,90.476,4845,1.779,0.562,0.568,no
90,0.055,255,0,255,255,255,20.854,56.84,0.409,13.97,255,NaN,NaN,100,2805,2.224,0.45,0.579,no
91,0.02,255,0,255,255,255,20.801,57.27,0.698,5.08,255,NaN,NaN,100,1020,2.654,0.377,0.667,no
92,0.015,255,0,255,255,255,21.325,57.458,1,3.81,255,NaN,NaN,100,765,1.464,0.683,0.857,no
93,0.015,255,0,255,255,255,27.653,57.481,0.643,3.81,255,NaN,NaN,100,765,2.702,0.37,0.667,no
94,0.015,255,0,255,255,255,27.7,57.717,0.754,3.81,255,NaN,NaN,100,765,2.702,0.37,0.667,no
95,0.249,244.8,50.477,255,0,255,61.075,58.709,0.137,60.961,255,-4.695,20.042,96,12240,2.345,0.426,0.474,no
96,0.015,255,0,255,255,255,27.629,58.281,0.524,3.81,255,NaN,NaN,100,765,1.567,0.638,0.6,no
97,0.015,255,0,255,255,255,36.709,58.469,0.643,3.81,255,NaN,NaN,100,765,2.702,0.37,0.667,no
98,0.015,255,0,255,255,255,60.445,58.446,0.524,3.81,255,NaN,NaN,100,765,1.567,0.638,0.6,no
99,0.015,255,0,255,255,255,37.65,58.634,0.754,3.81,255,NaN,NaN,100,765,2.702,0.37,0.667,no
100,0.02,255,0,255,255,255,77.665,58.787,1,5.08,255,NaN,NaN,100,1020,2.031,0.492,0.8,no
101,0.07,255,0,255,255,255,38.341,59.165,0.333,17.78,255,NaN,NaN,100,3570,2.166,0.462,0.571,no
102,0.03,255,0,255,255,255,77.7,59.069,0.348,7.62,255,NaN,NaN,100,1530,1.741,0.574,0.5,no
103,0.025,255,0,255,255,255,60.304,59.189,0.444,6.35,255,NaN,NaN,100,1275,1.829,0.547,0.556,no
104,0.02,255,0,255,255,255,38.109,59.598,0.393,5.08,255,NaN,NaN,100,1020,2.179,0.459,0.5,no
105,0.025,255,0,255,255,255,60.968,59.655,0.641,6.35,255,NaN,NaN,100,1275,3.145,0.318,0.667,no
106,0.189,228.158,79.308,255,0,255,63.837,60.186,0.17,43.181,255,-2.572,4.618,89.474,8670,1.88,0.532,0.524,no
107,0.015,255,0,255,255,255,64.186,59.787,0.754,3.81,255,NaN,NaN,100,765,2.702,0.37,0.667,no
108,0.055,255,0,255,255,255,60.92,59.964,0.257,13.97,255,NaN,NaN,100,2805,1.231,0.812,0.512,no
109,0.015,255,0,255,255,255,38.074,59.951,0.809,3.81,255,NaN,NaN,100,765,3,0.333,1,no
110,0.035,255,0,255,255,255,62.25,60.173,0.406,8.89,255,NaN,NaN,100,1785,1.337,0.748,0.56,no
111,0.06,233.75,73.612,255,0,255,38.106,60.413,0.503,13.97,255,-3.015,7.091,91.667,2805,3.273,0.306,0.686,no
112,0.015,255,0,255,255,255,37.768,60.398,1,3.81,255,NaN,NaN,100,765,1.464,0.683,0.857,no
113,0.035,255,0,255,255,255,63.641,60.728,0.621,8.89,255,NaN,NaN,100,1785,1.521,0.658,0.7,no
114,0.015,255,0,255,255,255,37.815,60.704,1,3.81,255,NaN,NaN,100,765,1.464,0.683,0.857,no
115,0.04,255,0,255,255,255,37.73,61.001,0.645,10.16,255,NaN,NaN,100,2040,1.725,0.58,0.667,no
116,0.025,255,0,255,255,255,64.101,60.925,0.491,6.35,255,NaN,NaN,100,1275,2.496,0.401,0.588,no
117,0.035,255,0,255,255,255,37.822,61.333,0.8,8.89,255,NaN,NaN,100,1785,2.123,0.471,0.875,no
118,0.02,255,0,255,255,255,37.333,61.751,0.539,5.08,255,NaN,NaN,100,1020,3.493,0.286,0.667,no
119,0.025,255,0,255,255,255,37.636,61.716,0.572,6.35,255,NaN,NaN,100,1275,2.98,0.336,0.625,no
120,0.02,255,0,255,255,255,39.785,61.804,0.857,5.08,255,NaN,NaN,100,1020,2,0.5,0.8,no
