particleNum,Area,Mean,StdDev,Mode,Min,Max,XM,YM,Circ.,IntDen,Median,Skew,Kurt,%Area,RawIntDen,AR,Round,Solidity,colocalized
215,0.015,255,0,255,255,255,73.031,82.676,0.643,3.81,255,NaN,NaN,100,765,2.702,0.37,0.667,no
216,0.045,255,0,255,255,255,64.492,82.88,0.638,11.43,255,NaN,NaN,100,2295,1.856,0.539,0.75,no
217,0.02,255,0,255,255,255,61.469,83.064,0.393,5.08,255,NaN,NaN,100,1020,2.253,0.444,0.571,no
218,0.03,255,0,255,255,255,26.712,86.898,1,7.62,255,NaN,NaN,100,1530,1.809,0.553,0.8,no
219,0.015,255,0,255,255,255,46.213,86.981,0.643,3.81,255,NaN,NaN,100,765,2.702,0.37,0.667,no
220,0.03,255,0,255,255,255,27.159,87.063,0.377,7.62,255,NaN,NaN,100,1530,1.777,0.563,0.522,no
221,0.035,255,0,255,255,255,45.847,87.192,0.496,8.89,255,NaN,NaN,100,1785,3.102,0.322,0.609,no
222,0.04,255,0,255,255,255,26.676,87.289,0.386,10.16,255,NaN,NaN,100,2040,3.218,0.311,0.696,no
223,0.125,224.4,84.574,255,0,255,46.158,87.487,0.205,27.94,255,-2.339,3.47,88,5610,1.723,0.58,0.543,no
224,0.02,255,0,255,255,255,45.766,87.757,0.698,5.08,255,NaN,NaN,100,1020,1.581,0.632,0.615,no
225,0.015,255,0,255,255,255,101.26,88.274,1,3.81,255,NaN,NaN,100,765,1.464,0.683,0.857,no
226,0.015,255,0,255,255,255,47.037,88.98,0.754,3.81,255,NaN,NaN,100,765,2.702,0.37,0.667,no
227,0.015,255,0,255,255,255,92.815,89.074,1,3.81,255,NaN,NaN,100,765,1.464,0.683,0.857,no
228,0.025,255,0,255,255,255,47.065,89.253,0.491,6.35,255,NaN,NaN,100,1275,2.024,0.494,0.588,no
229,0.035,255,0,255,255,255,84.42,89.814,0.44,8.89,255,NaN,NaN,100,1785,1.249,0.801,0.636,no
230,0.015,255,0,255,255,255,93.497,89.874,0.524,3.81,255,NaN,NaN,100,765,1.567,0.638,0.6,no
231,0.025,255,0,255,255,255,98.992,89.959,0.388,6.35,255,NaN,NaN,100,1275,2.208,0.453,0.556,no
232,0.02,255,0,255,255,255,93.703,90.033,0.611,5.08,255,NaN,NaN,100,1020,2.53,0.395,0.615,no
233,0.015,255,0,255,255,255,84.91,90.227,0.643,3.81,255,NaN,NaN,100,765,2.702,0.37,0.667,no
234,0.015,255,0,255,255,255,99.284,90.298,0.524,3.81,255,NaN,NaN,100,765,1.567,0.638,0.6,no
235,0.02,255,0,255,255,255,98.678,90.315,1,5.08,255,NaN,NaN,100,1020,2,0.5,0.8,no
236,0.02,255,0,255,255,255,99.419,90.492,0.857,5.08,255,NaN,NaN,100,1020,2,0.5,0.8,no
237,0.015,255,0,255,255,255,99.895,90.439,0.967,3.81,255,NaN,NaN,100,765,3,0.333,1,no
238,0.015,255,0,255,255,255,99.19,90.697,0.754,3.81,255,NaN,NaN,100,765,2.702,0.37,0.667,no
239,0.015,255,0,255,255,255,82.605,91.85,0.809,3.81,255,NaN,NaN,100,765,3,0.333,1,no
240,0.015,255,0,255,255,255,89.804,92.485,0.809,3.81,255,NaN,NaN,100,765,3,0.333,1,no
241,0.015,255,0,255,255,255,27.559,92.697,0.967,3.81,255,NaN,NaN,100,765,3,0.333,1,no
242,0.015,255,0,255,255,255,96.767,92.909,0.643,3.81,255,NaN,NaN,100,765,2.702,0.37,0.667,no
243,0.02,255,0,255,255,255,72.584,92.962,0.698,5.08,255,NaN,NaN,100,1020,2.654,0.377,0.667,no
244,0.025,255,0,255,255,255,35.928,93.262,0.388,6.35,255,NaN,NaN,100,1275,2.031,0.492,0.556,no
245,0.015,255,0,255,255,255,96.767,94.226,1,3.81,255,NaN,NaN,100,765,1.464,0.683,0.857,no
246,0.025,255,0,255,255,255,75.689,95.082,0.572,6.35,255,NaN,NaN,100,1275,1.848,0.541,0.667,no
247,0.025,255,0,255,255,255,71.666,95.675,0.873,6.35,255,NaN,NaN,100,1275,1.496,0.668,0.714,no
248,0.02,255,0,255,255,255,71.543,95.926,0.857,5.08,255,NaN,NaN,100,1020,2,0.5,0.8,no
249,0.03,255,0,255,255,255,96.543,96.343,0.441,7.62,255,NaN,NaN,100,1530,2.892,0.346,0.571,no
250,0.015,255,0,255,255,255,16.479,96.743,0.524,3.81,255,NaN,NaN,100,765,1.567,0.638,0.6,no
251,0.015,255,0,255,255,255,83.946,97.12,0.754,3.81,255,NaN,NaN,100,765,2.702,0.37,0.667,no
252,0.055,255,0,255,255,255,84.171,97.47,0.322,13.97,255,NaN,NaN,100,2805,2.504,0.399,0.629,no
253,0.035,255,0,255,255,255,79.218,97.516,0.375,8.89,255,NaN,NaN,100,1785,2.957,0.338,0.538,no
254,0.015,255,0,255,255,255,81.076,98.061,0.643,3.81,255,NaN,NaN,100,765,2.702,0.37,0.667,no
255,0.02,255,0,255,255,255,80.982,98.343,0.698,5.08,255,NaN,NaN,100,1020,1.581,0.632,0.615,no
256,0.015,255,0,255,255,255,94.955,100.742,0.524,3.81,255,NaN,NaN,100,765,4.123,0.243,0.6,no
